Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Euclidean Distance
Irvin Cardona,"MF,DF",0.01605574068464102,0.0,0.11111111111111112,0.037037037037037035,0.0,0.0,1.6666666666666667,Germany,25.0,4.0,0.78425,3.7793958333333335,0.5691355875006177
Ignacio Miramon,MF,0.011511663132384126,0.0,0.05128205128205128,0.07692307692307691,0.0,0.0,1.846153846153846,France,20.0,5.0,0.6495000000000001,3.362375,0.5691559395203392
Aïman Maurer,"MF,FW",0.016661617691608604,0.0,0.03571428571428572,0.03571428571428572,0.0,0.0,0.9642857142857144,France,18.0,5.0,0.6495000000000001,2.5891607142857147,0.5693596444354401
Yaya Kader Fofana,"MF,DF",0.009391093607997577,0.0,0.0625,0.09375,0.0,0.0,2.25,France,19.0,5.0,0.6495000000000001,3.524875,0.5699326545082255
Filip Jagiełło,MF,0.00969403211148137,0.0,0.060606060606060615,0.060606060606060615,0.0,0.0,1.636363636363637,Italy,25.0,2.0,0.87481,3.782338863636364,0.5705907032606159
Remo Freuler,MF,0.7946076946379884,0.06506849315068494,0.028201219512195123,0.06288109756097561,0.004999999999999999,0.0026666666666666666,1.5278077180086869,Italy,31.0,2.0,0.87481,4.311777516705647,0.5706583132374827
Genki Haraguchi,MF,0.007876401090578614,0.0,0.07407407407407407,0.11111111111111112,0.0,0.0,2.666666666666667,Germany,32.0,4.0,0.78425,5.129395833333334,0.5710651233529896
Joseph Nonge,MF,0.006967585580127234,0.0,0.08333333333333334,0.08333333333333334,0.0,0.0,2.25,Italy,18.0,2.0,0.87481,3.4812025,0.571362172499791
Dylan Bronn,"DF,MF",0.015449863677673432,0.0,0.038461538461538464,0.019230769230769232,0.0,0.0,0.6923076923076924,Italy,28.0,2.0,0.87481,3.4687025000000005,0.571751064921753
Djené,"DF,MF",0.7521963041502574,0.0253623188405797,0.010466988727858291,0.039452495974235106,0.0,0.0,0.855072463768116,Spain,31.0,3.0,0.8173900000000001,3.8601446014492753,0.5718106222646061
Lorenzo Amatucci,MF,0.006361708573159649,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,2.4545454545454546,Italy,19.0,2.0,0.87481,3.7141570454545456,0.5718309827891351
Ethan Mbappé,"MF,DF",0.014238109663738261,0.0,0.04166666666666667,0.020833333333333336,0.0,0.0,0.75,France,16.0,5.0,0.6495000000000001,2.2498750000000003,0.5720971495719498
Luke Harris,MF,0.02241744925780067,0.0,0.0,0.013333333333333334,0.0,0.0,0.24,England,18.0,1.0,0.99232,2.2040800000000003,0.5721327000393354
Grant Ranos,"MF,FW",0.014541048167222055,0.0,0.0,0.06122448979591837,0.0,0.0,1.1020408163265307,Germany,20.0,4.0,0.78425,2.9123890306122453,0.572476988946423
Miguel,"FW,MF",0.01938806422296274,0.0,0.03076923076923077,0.0,0.0,0.0,0.2769230769230769,Spain,23.0,3.0,0.8173900000000001,2.6843475000000003,0.5726290398753516
Iván Martín,MF,0.8264162375037867,0.0957095709570957,0.06156101135947234,0.05240014657383657,0.026666666666666665,0.011555555555555557,1.7436708824785008,Spain,24.0,3.0,0.8173900000000001,3.7377335736110258,0.5728404815114674
Jovan Milošević,"FW,MF",0.008179339594062406,0.0,0.07142857142857144,0.03571428571428572,0.0,0.0,1.2857142857142858,Germany,18.0,4.0,0.78425,2.831776785714286,0.5731989767798906
Mohamed Elneny,MF,0.008179339594062406,0.0,0.07142857142857144,0.03571428571428572,0.0,0.0,1.2857142857142858,England,31.0,1.0,0.99232,4.183794285714286,0.5731989767798906
Fodé Ballo-Touré,"DF,MF",0.021205695243865497,0.0,0.14084507042253522,0.0,0.0,0.0,1.267605633802817,England,26.0,1.0,0.99232,3.672023661971832,0.5732156991267786
El Chadaille Bitshiabu,"DF,MF",0.009996970614965163,0.0,0.11764705882352941,0.02941176470588236,0.0,0.0,1.5882352941176472,Germany,18.0,4.0,0.78425,3.0284154411764708,0.5741118800062378
Yerry Mina,"DF,MF",0.013026355649803091,0.0,0.0,0.045454545454545456,0.0,0.0,0.8181818181818182,Italy,28.0,2.0,0.87481,3.550520681818182,0.5744499125965661
